match_id,player,rank,kills
1,rico,4,0
1,markus,3,4
1,pius,1,3
2,rico,4,2
2,linus,1,3
2,markus,2,2
2,pius,3,2
3,rico,3,5
3,linus,4,1
3,markus,2,4
3,pius,1,1
4,rico,2,4
4,linus,4,2
4,markus,3,2
4,pius,1,1
5,rico,4,3
5,linus,2,1
5,markus,1,4
5,pius,3,1
6,rico,4,0
6,linus,3,2
6,markus,2,3
6,pius,1,4
7,rico,1,1
7,linus,1,3
7,markus,3,1
7,pius,2,2
8,rico,2,3
8,markus,3,2
8,luca,1,2
8,pius,4,3
9,rico,4,2
9,linus,1,4
9,luca,2,1
9,pius,3,1
10,rico,3,3
10,linus,2,3
10,luca,4,2
10,pius,1,2
11,rico,3,3
11,linus,4,1
11,luca,1,6
11,pius,2,1
12,rico,1,6
12,linus,2,4
12,luca,4,0
12,pius,3,0
13,rico,2,6
13,markus,1,2
13,luca,3,1
13,pius,4,1
14,rico,3,2
14,marco,4,0
14,markus,2,2
14,pius,1,2
15,rico,4,1
15,linus,3,1
15,markus,1,7
15,pius,2,1
