match_id,player,rank,kills
1,ferdi,3,0
1,linus,4,2
1,markus,2,2
1,pius,1,5
2,ferdi,4,0
2,linus,3,3
2,markus,2,3
2,pius,1,5
3,ferdi,4,0
3,linus,3,2
3,rayan,1,6
3,pius,2,2
4,ferdi,4,1
4,linus,1,1
4,rayan,3,5
4,markus,2,3
5,linus,2,5
5,rayan,4,2
5,markus,1,4
5,pius,3,0
6,linus,1,4
6,rayan,4,1
6,markus,2,1
6,pius,3,2
7,ferdi,2,0
7,rayan,4,0
7,markus,3,5
7,pius,1,3
8,ferdi,4,0
8,linus,1,3
8,markus,2,2
8,pius,3,1
9,linus,4,1
9,rayan,1,4
9,markus,2,3
9,pius,3,0
10,ferdi,3,1
10,linus,4,1
10,rayan,2,2
10,pius,1,3
11,ferdi,3,2
11,rayan,1,2
11,markus,4,1
11,pius,2,3
12,ferdi,4,1
12,linus,2,2
12,rayan,3,2
12,markus,1,5
13,ferdi,4,1
13,linus,3,1
13,rayan,2,0
13,pius,1,8
14,linus,1,4
14,rayan,3,1
14,markus,4,2
14,pius,2,2
