match_id,player,rank,kills
1,rico,3,4
1,linus,4,1
1,noah,1,1
1,basil,2,1
2,rico,1,4
2,linus,4,2
2,basil,3,3
2,pädi,2,2
3,noah,2,1
3,basil,4,2
3,pädi,3,3
3,pius,1,2
4,rico,4,2
4,linus,1,5
4,noah,2,1
4,pädi,3,0
5,noah,2,2
5,basil,4,4
5,pädi,3,2
5,pius,1,2
6,rico,1,8
6,linus,4,1
6,noah,3,0
6,pädi,2,1
7,rico,4,1
7,noah,2,2
7,basil,3,0
7,pius,1,5
8,linus,2,4
8,noah,1,2
8,basil,4,1
8,pädi,3,2
9,rico,1,3
9,linus,2,1
9,pädi,3,1
9,pius,4,1
10,linus,1,5
10,noah,2,2
10,basil,3,1
10,pädi,4,2
11,rico,4,0
11,noah,2,0
11,basil,3,3
11,pius,1,5
12,linus,2,2
12,noah,1,2
12,basil,3,1
12,pädi,4,3
13,rico,4,1
13,noah,3,0
13,basil,2,2
13,pius,1,6
14,rico,1,4
14,noah,4,3
14,basil,3,0
14,pius,2,3
15,rico,2,2
15,noah,3,1
15,basil,1,3
15,pädi,4,0
16,rico,1,6
16,noah,2,2
16,basil,3,1
16,pius,4,1
17,linus,2,2
17,noah,1,1
17,basil,3,4
17,pädi,4,0
18,rico,2,7
18,linus,1,2
18,basil,1,1
18,pius,3,1
19,rico,2,3
19,noah,3,1
19,pädi,4,1
19,pius,1,4
20,rico,1,7
20,linus,4,0
20,noah,2,2
20,basil,3,2
21,rico,1,4
21,noah,3,1
21,pius,2,4
22,linus,1,3
22,noah,2,1
22,pädi,4,0
22,pius,3,4
23,rico,4,4
23,noah,1,1
23,basil,2,2
23,pius,3,3
24,linus,3,2
24,basil,1,2
24,pädi,4,1
24,pius,2,3
25,rico,4,2
25,linus,3,3
25,noah,2,1
25,pius,1,4
26,linus,1,4
26,noah,2,1
26,basil,3,2
26,pädi,4,2
27,rico,3,2
27,linus,2,6
27,noah,1,2
27,basil,4,0
28,rico,1,4
28,linus,4,3
28,pädi,2,2
28,pius,3,1
29,noah,4,2
29,basil,2,5
29,pädi,1,4
29,pius,3,0
30,rico,2,1
30,linus,3,2
30,basil,1,5
30,pius,4,1
