match_id,player,rank,kills
1,linus,4,0
1,rico,1,4
1,pius,2,6
2,linus,4,0
2,rico,1,4
2,pius,2,1
3,linus,2,4
3,rico,3,1
3,pius,1,3
4,linus,4,3
4,rico,2,5
4,pius,1,2
5,linus,2,4
5,rico,1,5
5,basil,3,1
6,linus,3,2
6,rico,1,3
6,pius,2,3
6,basil,4,0
7,linus,2,4
7,rico,3,2
7,pius,1,5
7,dano,4,0
8,linus,4,0
8,rico,3,5
8,pius,1,4
8,basil,2,2
9,rico,4,1
9,pius,1,3
9,basil,3,1
9,dano,2,1
10,linus,4,3
10,rico,2,2
10,pius,1,5
10,basil,3,0
11,rico,3,3
11,pius,1,6
11,basil,2,1
11,dano,4,1
12,rico,2,4
12,pius,1,3
12,basil,3,1
13,linus,1,5
13,rico,4,0
13,basil,2,3
13,dano,3,1
14,linus,2,4
14,rico,4,1
14,pius,3,3
14,dano,1,0
15,linus,4,0
15,rico,2,2
15,pius,3,2
15,basil,1,4
